严重性	代码	说明	项目	文件	行	禁止显示状态
错误	LNK2019	无法解析的外部符号 "class cv::Mat __cdecl cv::imread(class cv::String const &,int)" (?imread@cv@@YA?AVMat@1@ABVString@1@H@Z)，该符号在函数 _main 中被引用	testc	C:\code\testc_vc2015\testcpp.obj	1	
错误	LNK1120	105 个无法解析的外部命令	testc	C:\code\testc_vc2015\Debug\testc.exe	1	
错误	LNK2019	无法解析的外部符号 "bool __cdecl cv::solve(class cv::_InputArray const &,class cv::_InputArray const &,class cv::_OutputArray const &,int)" (?solve@cv@@YA_NABV_InputArray@1@0ABV_OutputArray@1@H@Z)，该符号在函数 "public: void __thiscall PDM::CalcParams(class cv::Vec<double,6> &,class cv::Mat_<double> const &,class cv::Mat_<double> const &,class cv::Vec<double,3>)" (?CalcParams@PDM@@QAEXAAV?$Vec@N$05@cv@@ABV?$Mat_@N@3@1V?$Vec@N$02@3@@Z) 中被引用	testc	C:\code\testc_vc2015\testcpp.obj	1	
错误	LNK2019	无法解析的外部符号 "bool __cdecl cv::solvePnP(class cv::_InputArray const &,class cv::_InputArray const &,class cv::_InputArray const &,class cv::_InputArray const &,class cv::_OutputArray const &,class cv::_OutputArray const &,bool,int)" (?solvePnP@cv@@YA_NABV_InputArray@1@000ABV_OutputArray@1@1_NH@Z)，该符号在函数 "class cv::Vec<double,6> __cdecl GetCorrectedPoseCamera(class CLM const &,double,double,double,double)" (?GetCorrectedPoseCamera@@YA?AV?$Vec@N$05@cv@@ABVCLM@@NNNN@Z) 中被引用	testc	C:\code\testc_vc2015\testcpp.obj	1	
错误	LNK2019	无法解析的外部符号 "class cv::MatExpr __cdecl cv::operator!=(class cv::Mat const &,class cv::Mat const &)" (??9cv@@YA?AVMatExpr@0@ABVMat@0@0@Z)，该符号在函数 "public: void __thiscall Patch_experts::Read(class std::vector<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,class std::allocator<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > >,class std::vector<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,class std::allocator<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > >,class std::vector<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,class std::allocator<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > >)" (?Read@Patch_experts@@QAEXV?$vector@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$allocator@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@
错误	LNK2019	无法解析的外部符号 "class cv::MatExpr __cdecl cv::operator*(class cv::Mat const &,class cv::Mat const &)" (??Dcv@@YA?AVMatExpr@0@ABVMat@0@0@Z)，该符号在函数 "public: void __thiscall PDM::CalcParams(class cv::Vec<double,6> &,class cv::Mat_<double> const &,class cv::Mat_<double> const &,class cv::Vec<double,3>)" (?CalcParams@PDM@@QAEXAAV?$Vec@N$05@cv@@ABV?$Mat_@N@3@1V?$Vec@N$02@3@@Z) 中被引用	testc	C:\code\testc_vc2015\testcpp.obj	1	
错误	LNK2019	无法解析的外部符号 "class cv::MatExpr __cdecl cv::operator*(class cv::Mat const &,class cv::MatExpr const &)" (??Dcv@@YA?AVMatExpr@0@ABVMat@0@ABV10@@Z)，该符号在函数 "class cv::Matx<double,2,2> __cdecl AlignShapesWithScale(class cv::Mat_<double> &,class cv::Mat_<double>)" (?AlignShapesWithScale@@YA?AV?$Matx@N$01$01@cv@@AAV?$Mat_@N@2@V32@@Z) 中被引用	testc	C:\code\testc_vc2015\testcpp.obj	1	
错误	LNK2019	无法解析的外部符号 "class cv::MatExpr __cdecl cv::operator*(class cv::Mat const &,double)" (??Dcv@@YA?AVMatExpr@0@ABVMat@0@N@Z)，该符号在函数 "class std::vector<struct std::pair<class cv::Point_<int>,class cv::Point_<int> >,class std::allocator<struct std::pair<class cv::Point_<int>,class cv::Point_<int> > > > __cdecl CalculateBox(class cv::Vec<double,6>,float,float,float,float)" (?CalculateBox@@YA?AV?$vector@U?$pair@V?$Point_@H@cv@@V12@@std@@V?$allocator@U?$pair@V?$Point_@H@cv@@V12@@std@@@2@@std@@V?$Vec@N$05@cv@@MMMM@Z) 中被引用	testc	C:\code\testc_vc2015\testcpp.obj	1	
错误	LNK2019	无法解析的外部符号 "class cv::MatExpr __cdecl cv::operator*(class cv::MatExpr const &,class cv::Mat const &)" (??Dcv@@YA?AVMatExpr@0@ABV10@ABVMat@0@@Z)，该符号在函数 "class cv::Matx<double,2,2> __cdecl AlignShapesKabsch2D(class cv::Mat_<double> const &,class cv::Mat_<double> const &)" (?AlignShapesKabsch2D@@YA?AV?$Matx@N$01$01@cv@@ABV?$Mat_@N@2@0@Z) 中被引用	testc	C:\code\testc_vc2015\testcpp.obj	1	
错误	LNK2019	无法解析的外部符号 "class cv::MatExpr __cdecl cv::operator*(class cv::MatExpr const &,class cv::MatExpr const &)" (??Dcv@@YA?AVMatExpr@0@ABV10@0@Z)，该符号在函数 "class cv::Matx<double,2,2> __cdecl AlignShapesKabsch2D(class cv::Mat_<double> const &,class cv::Mat_<double> const &)" (?AlignShapesKabsch2D@@YA?AV?$Matx@N$01$01@cv@@ABV?$Mat_@N@2@0@Z) 中被引用	testc	C:\code\testc_vc2015\testcpp.obj	1	
