
测试库: CASIA-IrisV3-Lamp

 boost   内圆    上眼睑  外圆    下眼睑  提特征 总时间
 0.0011 n0.0075 t0.0041 w0.0046 b0.0062 s0.0004 0.0251
 0.0011 n0.0074 t0.0041 w0.0045 b0.0063 s0.0004 0.0249
 0.0010 n0.0076 t0.0042 w0.0045 b0.0062 s0.0004 0.0250
 0.0010 n0.0074 t0.0041 w0.0046 b0.0064 s0.0004 0.0252
 0.0011 n0.0075 t0.0041 w0.0045 b0.0062 s0.0004 0.0250
 0.0012 n0.0072 t0.0040 w0.0050 b0.0063 s0.0004 0.0252
 0.0012 n0.0073 t0.0042 w0.0051 b0.0063 s0.0004 0.0256
 0.0011 n0.0072 t0.0041 w0.0052 b0.0063 s0.0004 0.0255
 0.0011 n0.0071 t0.0040 w0.0052 b0.0063 s0.0004 0.0254
 0.0011 n0.0070 t0.0040 w0.0053 b0.0062 s0.0004 0.0252
 0.0012 n0.0072 t0.0040 w0.0050 b0.0063 s0.0004 0.0253
 0.0011 n0.0071 t0.0040 w0.0052 b0.0063 s0.0004 0.0252
 0.0013 n0.0073 t0.0040 w0.0050 b0.0063 s0.0004 0.0255
 0.0011 n0.0071 t0.0040 w0.0051 b0.0063 s0.0004 0.0253
 0.0011 n0.0070 t0.0041 w0.0052 b0.0063 s0.0004 0.0253
 0.0011 n0.0071 t0.0040 w0.0051 b0.0062 s0.0004 0.0251
 0.0012 n0.0073 t0.0041 w0.0049 b0.0063 s0.0004 0.0252
 0.0011 n0.0075 t0.0040 w0.0048 b0.0063 s0.0004 0.0253
 0.0012 n0.0073 t0.0041 w0.0047 b0.0062 s0.0004 0.0250
 0.0012 n0.0075 t0.0041 w0.0049 b0.0063 s0.0004 0.0256
 0.0011 n0.0072 t0.0043 w0.0050 b0.0063 s0.0004 0.0255
 0.0012 n0.0072 t0.0040 w0.0050 b0.0063 s0.0004 0.0252
 0.0012 n0.0071 t0.0041 w0.0050 b0.0062 s0.0004 0.0252
 0.0012 n0.0072 t0.0040 w0.0050 b0.0062 s0.0004 0.0251
